maintenance_id,equipment_id,maintenance_date,maintenance_type,issue_category,severity,downtime_hours,maintenance_cost_inr,engine_hours_at_maintenance
M_000303,EQ_00104,2026-05-28,Corrective,Electrical,Low,13.9,22580.15,21023
M_000304,EQ_00104,2025-05-11,Corrective,Scheduled Service,Medium,25.8,45255.1,21847
M_000305,EQ_00105,2024-11-25,Corrective,Hydraulic,High,7.5,19743.47,4774
M_000306,EQ_00105,2026-01-17,Corrective,Tires/Tracks,High,15.1,59893.08,3878
M_000307,EQ_00105,2024-11-18,Preventive,Hydraulic,Medium,12.5,31894.1,5023
M_000308,EQ_00105,2024-04-17,Preventive,Hydraulic,High,13.1,32374.49,4950
M_000309,EQ_00106,2024-12-13,Corrective,Scheduled Service,Medium,5.8,10377.04,9853
M_000310,EQ_00106,2025-04-02,Preventive,Tires/Tracks,Medium,12.1,26136.14,8623
M_000311,EQ_00106,2024-02-13,Corrective,Engine,Low,5.9,19050.81,8528
M_000312,EQ_00107,2025-11-02,Preventive,Engine,Medium,4.7,11730.4,5918
M_000313,EQ_00107,2025-07-06,Preventive,Scheduled Service,Low,13.0,25924.62,6075
M_000314,EQ_00107,2025-05-08,Corrective,Engine,Medium,8.6,28260.18,5723
M_000315,EQ_00108,2025-03-08,Corrective,Hydraulic,Low,4.6,9400.38,18222
M_000316,EQ_00108,2024-10-17,Corrective,Tires/Tracks,Low,16.7,36827.44,18810
M_000317,EQ_00109,2024-10-02,Preventive,Tires/Tracks,Low,4.3,18617.12,9875
M_000318,EQ_00109,2025-01-05,Preventive,Engine,High,3.6,8957.16,9388
M_000319,EQ_00109,2025-04-26,Corrective,Electrical,High,5.5,10101.84,10106
M_000320,EQ_00110,2025-04-20,Corrective,Scheduled Service,High,49.6,194845.52,21156
M_000321,EQ_00110,2024-05-22,Corrective,Tires/Tracks,Medium,2.7,10661.13,21037
M_000322,EQ_00110,2026-01-14,Corrective,Electrical,Low,24.7,53504.47,20778
M_000323,EQ_00110,2024-06-05,Corrective,Hydraulic,High,4.1,6863.91,22382
M_000324,EQ_00111,2024-12-22,Corrective,Electrical,Low,13.9,24490.9,6088
M_000325,EQ_00111,2025-06-16,Preventive,Electrical,Low,16.9,29656.49,4777
M_000326,EQ_00111,2026-02-23,Corrective,Tires/Tracks,Low,5.9,9661.6,5492
M_000327,EQ_00112,2025-10-17,Preventive,Hydraulic,Medium,14.7,32033.94,1525
M_000328,EQ_00112,2024-10-09,Corrective,Scheduled Service,Medium,8.3,26556.68,2848
M_000329,EQ_00112,2025-10-28,Preventive,Electrical,Medium,7.2,16120.15,1694
M_000330,EQ_00113,2026-07-11,Corrective,Hydraulic,Medium,17.8,76449.91,12292
M_000331,EQ_00113,2026-05-14,Corrective,Hydraulic,High,16.3,55749.66,13177
M_000332,EQ_00114,2024-02-29,Preventive,Electrical,Low,0.3,1001.61,14892
M_000333,EQ_00114,2024-02-26,Preventive,Hydraulic,High,24.6,55925.95,15245
M_000334,EQ_00114,2024-03-18,Corrective,Hydraulic,Medium,17.6,74815.8,14485
M_000335,EQ_00114,2025-09-06,Preventive,Electrical,Low,5.4,12855.96,14655
M_000336,EQ_00115,2024-11-28,Corrective,Tires/Tracks,Medium,3.8,6300.88,21254
M_000337,EQ_00115,2024-09-15,Preventive,Tires/Tracks,Medium,8.5,25534.96,21525
M_000338,EQ_00115,2024-11-24,Corrective,Tires/Tracks,High,58.0,144706.92,22576
M_000339,EQ_00115,2024-12-30,Preventive,Scheduled Service,Medium,14.2,58403.64,21317
M_000340,EQ_00116,2026-04-02,Preventive,Hydraulic,Low,2.2,8973.15,20024
M_000341,EQ_00116,2026-08-02,Preventive,Scheduled Service,High,17.4,70364.42,18696
M_000342,EQ_00116,2026-03-19,Preventive,Scheduled Service,Medium,11.6,41383.02,18437
M_000343,EQ_00116,2024-06-21,Corrective,Scheduled Service,High,22.2,81656.9,19693
M_000344,EQ_00117,2025-08-30,Corrective,Tires/Tracks,Low,25.4,106386.22,19261
M_000345,EQ_00117,2025-07-23,Preventive,Electrical,Low,8.9,35560.88,18894
M_000346,EQ_00118,2024-01-02,Preventive,Tires/Tracks,Medium,19.7,79037.23,14260
M_000347,EQ_00119,2024-12-11,Corrective,Engine,Medium,11.3,30198.87,9183
M_000348,EQ_00119,2025-08-28,Preventive,Hydraulic,Medium,11.6,48292.89,7249
M_000349,EQ_00120,2024-02-07,Preventive,Electrical,Low,14.6,42425.18,9617
M_000350,EQ_00120,2024-06-16,Corrective,Electrical,Medium,7.2,20768.48,9279
M_000351,EQ_00120,2025-04-14,Preventive,Engine,Low,7.4,29912.57,9046
M_000352,EQ_00120,2025-10-25,Preventive,Electrical,Medium,8.1,35959.0,10444
M_000353,EQ_00121,2026-08-10,Corrective,Tires/Tracks,Medium,8.7,33412.45,3890
M_000354,EQ_00121,2024-09-30,Preventive,Electrical,Medium,2.6,9281.3,2972
M_000355,EQ_00121,2026-07-07,Preventive,Electrical,Low,6.2,23094.09,3529
M_000356,EQ_00122,2026-01-06,Corrective,Tires/Tracks,Medium,7.9,25265.26,10282
M_000357,EQ_00122,2024-01-05,Preventive,Tires/Tracks,Low,14.0,16905.12,10746
M_000358,EQ_00123,2025-06-29,Preventive,Electrical,Medium,2.1,6245.95,7917
M_000359,EQ_00123,2025-07-21,Corrective,Hydraulic,Medium,5.4,7874.49,8248
M_000360,EQ_00123,2025-10-10,Preventive,Engine,Low,1.9,4262.92,9134
M_000361,EQ_00124,2024-02-16,Preventive,Engine,Low,8.1,15960.63,358
M_000362,EQ_00125,2025-02-18,Preventive,Scheduled Service,Low,7.9,12465.89,5068
M_000363,EQ_00126,2025-07-05,Corrective,Electrical,High,37.1,122519.23,11107
M_000364,EQ_00126,2025-03-11,Preventive,Engine,Medium,6.5,8226.61,12219
M_000365,EQ_00126,2024-02-28,Preventive,Engine,Low,45.3,190087.79,12421
M_000366,EQ_00127,2026-03-18,Preventive,Hydraulic,Low,16.3,21483.7,7787
M_000367,EQ_00127,2026-02-28,Preventive,Scheduled Service,Low,22.9,75960.42,8559
M_000368,EQ_00127,2025-01-21,Preventive,Electrical,High,1.0,3809.71,8039
M_000369,EQ_00127,2025-02-06,Preventive,Tires/Tracks,High,8.5,19715.8,7849
M_000370,EQ_00128,2024-08-19,Preventive,Tires/Tracks,Medium,8.5,28965.77,22822
M_000371,EQ_00128,2026-05-18,Preventive,Tires/Tracks,High,34.0,92738.38,22537
M_000372,EQ_00129,2024-02-04,Corrective,Hydraulic,Medium,8.7,23848.87,11194
M_000373,EQ_00129,2025-06-30,Preventive,Electrical,Low,28.7,66042.41,10371
M_000374,EQ_00130,2025-06-08,Preventive,Tires/Tracks,High,19.4,44430.2,22054
M_000375,EQ_00130,2025-08-26,Preventive,Tires/Tracks,Low,17.4,30858.26,20279
M_000376,EQ_00130,2024-12-13,Corrective,Hydraulic,Medium,12.6,39394.38,21684
M_000377,EQ_00130,2025-12-23,Preventive,Hydraulic,Low,7.6,10759.47,20617
M_000378,EQ_00130,2024-01-03,Preventive,Engine,Low,21.6,58668.39,20461
M_000379,EQ_00131,2025-04-15,Corrective,Hydraulic,Low,13.2,19962.46,14335
M_000380,EQ_00131,2024-05-22,Preventive,Hydraulic,Low,6.7,24709.05,14363
M_000381,EQ_00132,2024-08-03,Preventive,Engine,Medium,8.0,18252.43,1633
M_000382,EQ_00133,2024-03-13,Preventive,Scheduled Service,Medium,5.1,9693.84,5709
M_000383,EQ_00133,2024-07-14,Preventive,Electrical,Low,9.4,16750.12,5225
M_000384,EQ_00133,2025-12-30,Corrective,Scheduled Service,Low,4.9,18493.81,5181
M_000385,EQ_00134,2024-09-22,Preventive,Tires/Tracks,Medium,6.7,14401.73,14728
M_000386,EQ_00134,2024-10-23,Preventive,Tires/Tracks,Medium,16.6,49433.03,15130
M_000387,EQ_00135,2026-05-19,Corrective,Electrical,Low,8.2,27122.92,11764
M_000388,EQ_00135,2025-07-15,Corrective,Engine,Medium,9.8,15752.49,11829
M_000389,EQ_00136,2024-12-28,Preventive,Tires/Tracks,Medium,8.5,24849.58,7469
M_000390,EQ_00136,2025-01-20,Preventive,Scheduled Service,Medium,7.9,21092.45,6850
M_000391,EQ_00136,2025-10-25,Preventive,Electrical,Low,9.3,14690.74,7756
M_000392,EQ_00136,2025-11-29,Preventive,Scheduled Service,Low,4.5,15446.73,6349
M_000393,EQ_00136,2024-07-19,Preventive,Electrical,Medium,3.0,12049.44,7182
M_000394,EQ_00137,2025-10-06,Corrective,Tires/Tracks,Low,6.8,17394.56,11515
M_000395,EQ_00137,2025-03-11,Preventive,Electrical,Low,5.0,18631.3,11390
M_000396,EQ_00137,2025-09-05,Preventive,Hydraulic,Medium,7.6,16527.36,12019
M_000397,EQ_00138,2025-07-08,Preventive,Scheduled Service,Medium,33.3,136267.62,19285
M_000398,EQ_00138,2024-01-28,Preventive,Electrical,Low,17.2,60500.35,20493
M_000399,EQ_00138,2025-03-14,Preventive,Electrical,Medium,4.4,11883.92,19111
M_000400,EQ_00139,2026-01-15,Corrective,Tires/Tracks,Medium,4.0,11524.21,8947
M_000401,EQ_00139,2026-07-16,Preventive,Scheduled Service,Low,19.8,43158.3,8028
M_000402,EQ_00139,2026-08-04,Preventive,Engine,Medium,18.5,41677.8,9007
M_000403,EQ_00140,2025-05-01,Preventive,Engine,Low,21.7,53315.86,755
M_000404,EQ_00140,2024-09-14,Preventive,Electrical,Low,6.3,16021.44,2011
M_000405,EQ_00140,2026-04-09,Preventive,Scheduled Service,Low,6.9,14208.58,1209
M_000406,EQ_00140,2025-08-29,Preventive,Hydraulic,Medium,15.4,65442.76,490
M_000407,EQ_00141,2024-12-19,Preventive,Scheduled Service,Low,3.0,8647.75,6695
M_000408,EQ_00141,2024-03-24,Preventive,Electrical,High,7.8,16416.1,7688
M_000409,EQ_00141,2026-01-29,Corrective,Tires/Tracks,Medium,8.7,36274.61,7043
M_000410,EQ_00142,2024-07-31,Preventive,Hydraulic,Low,9.7,37987.83,21144
M_000411,EQ_00143,2025-04-27,Preventive,Scheduled Service,High,10.4,36450.2,17233
M_000412,EQ_00143,2026-05-19,Preventive,Electrical,Medium,12.9,52624.78,17392
M_000413,EQ_00144,2025-11-11,Corrective,Tires/Tracks,Low,10.8,31181.55,19141
M_000414,EQ_00144,2025-12-01,Preventive,Tires/Tracks,Low,5.0,11290.58,18460
M_000415,EQ_00144,2024-05-23,Preventive,Electrical,Low,14.4,18385.96,19379
M_000416,EQ_00144,2025-01-15,Corrective,Hydraulic,Low,17.7,60207.97,19192
M_000417,EQ_00145,2026-01-06,Preventive,Engine,Low,2.4,3982.03,20146
M_000418,EQ_00146,2026-05-23,Preventive,Engine,Low,6.2,18020.43,2436
M_000419,EQ_00146,2024-07-27,Preventive,Hydraulic,Low,6.1,22590.58,3499
M_000420,EQ_00147,2025-06-13,Preventive,Engine,Medium,14.7,40205.57,5642
M_000421,EQ_00147,2026-08-19,Corrective,Scheduled Service,Medium,13.9,36336.79,5739
M_000422,EQ_00147,2026-07-31,Corrective,Engine,Low,19.5,72612.29,5965
M_000423,EQ_00148,2025-01-04,Corrective,Engine,Medium,3.2,10272.13,1453
M_000424,EQ_00148,2025-12-10,Corrective,Scheduled Service,Low,12.5,43148.23,1291
M_000425,EQ_00149,2024-11-15,Corrective,Electrical,Low,4.6,19890.83,265
M_000426,EQ_00149,2026-02-26,Preventive,Scheduled Service,Medium,14.8,42211.81,257
M_000427,EQ_00149,2025-10-26,Preventive,Electrical,Medium,10.8,35762.16,988
M_000428,EQ_00150,2024-11-10,Preventive,Hydraulic,Low,0.6,2479.05,19439
M_000429,EQ_00151,2025-10-11,Preventive,Electrical,Medium,20.4,57102.22,20833
M_000430,EQ_00152,2025-12-23,Preventive,Scheduled Service,Low,13.1,43758.93,3853
M_000431,EQ_00152,2025-07-13,Corrective,Tires/Tracks,Low,4.3,6718.75,3423
M_000432,EQ_00152,2025-05-31,Preventive,Scheduled Service,Low,1.9,4661.56,4110
M_000433,EQ_00153,2025-06-13,Preventive,Tires/Tracks,Low,10.1,36755.67,15834
M_000434,EQ_00153,2024-11-19,Preventive,Hydraulic,Low,12.4,31159.62,15044
M_000435,EQ_00153,2024-12-28,Preventive,Tires/Tracks,Medium,19.8,32368.8,15178
M_000436,EQ_00153,2024-10-03,Corrective,Tires/Tracks,Medium,5.2,13742.02,16011
M_000437,EQ_00154,2026-07-13,Preventive,Tires/Tracks,High,49.4,205079.38,12345
M_000438,EQ_00154,2025-07-13,Preventive,Engine,Low,6.2,12429.54,12792
M_000439,EQ_00154,2025-03-24,Corrective,Hydraulic,Low,3.3,11903.92,12448
M_000440,EQ_00154,2025-07-16,Preventive,Engine,Medium,3.9,7946.85,12308
M_000441,EQ_00155,2024-05-23,Preventive,Engine,Low,17.7,26847.96,1216
M_000442,EQ_00155,2026-01-31,Preventive,Engine,Low,6.7,13948.16,2421
M_000443,EQ_00156,2025-01-24,Preventive,Engine,Low,1.8,4932.75,20060
M_000444,EQ_00156,2024-05-07,Corrective,Tires/Tracks,Low,10.9,27599.28,20542
M_000445,EQ_00156,2025-01-19,Preventive,Electrical,Low,16.6,31723.89,19749
M_000446,EQ_00156,2024-11-16,Preventive,Scheduled Service,Low,9.7,22655.42,20835
M_000447,EQ_00157,2024-07-16,Preventive,Electrical,Low,13.2,30762.22,18753
M_000448,EQ_00158,2025-08-08,Preventive,Hydraulic,High,13.1,27404.3,12234
M_000449,EQ_00159,2025-02-10,Corrective,Tires/Tracks,Medium,5.7,9976.73,16477
M_000450,EQ_00159,2025-01-28,Corrective,Tires/Tracks,High,22.0,35489.66,15694
M_000451,EQ_00160,2025-01-30,Preventive,Electrical,Medium,35.7,42948.9,9565
M_000452,EQ_00160,2025-07-04,Corrective,Hydraulic,Low,9.2,22623.22,9163
M_000453,EQ_00161,2026-04-25,Preventive,Electrical,Medium,19.0,47463.77,18162
M_000454,EQ_00161,2024-06-25,Corrective,Tires/Tracks,Medium,9.1,37388.64,18439
M_000455,EQ_00161,2025-02-10,Preventive,Engine,High,24.0,74184.24,18279
M_000456,EQ_00161,2024-01-26,Preventive,Scheduled Service,Low,10.8,14218.8,16871
M_000457,EQ_00162,2024-11-19,Preventive,Engine,High,60.9,173461.89,10626
M_000458,EQ_00162,2024-01-07,Preventive,Tires/Tracks,Medium,14.4,51918.18,10247
M_000459,EQ_00162,2025-11-18,Preventive,Tires/Tracks,Medium,13.0,52428.11,9162
M_000460,EQ_00162,2024-08-20,Corrective,Tires/Tracks,Low,27.0,74186.76,10929
M_000461,EQ_00163,2026-01-07,Preventive,Engine,Low,4.1,13205.04,21522
M_000462,EQ_00163,2024-08-20,Corrective,Hydraulic,Low,12.6,28026.53,22153
M_000463,EQ_00163,2025-09-07,Preventive,Hydraulic,Low,5.0,14933.97,22057
M_000464,EQ_00163,2025-01-08,Corrective,Scheduled Service,High,29.4,131652.16,20771
M_000465,EQ_00164,2024-12-18,Preventive,Electrical,Low,43.6,85711.6,2790
M_000466,EQ_00164,2025-04-27,Preventive,Electrical,High,52.3,199391.33,2538
M_000467,EQ_00164,2024-03-02,Corrective,Scheduled Service,High,13.3,23558.54,2105
M_000468,EQ_00165,2024-08-21,Corrective,Tires/Tracks,Medium,0.7,1593.12,4354
M_000469,EQ_00165,2025-06-05,Preventive,Engine,Medium,13.7,34341.09,3869
M_000470,EQ_00166,2024-05-04,Corrective,Electrical,Medium,4.2,5200.65,21010
M_000471,EQ_00166,2025-05-10,Preventive,Tires/Tracks,Medium,9.7,24194.68,20731
M_000472,EQ_00166,2026-07-11,Preventive,Engine,Low,9.2,16612.63,21169
M_000473,EQ_00166,2024-08-26,Corrective,Tires/Tracks,Low,8.2,11987.53,21631
M_000474,EQ_00167,2025-09-05,Corrective,Hydraulic,Low,18.2,52608.06,6457
M_000475,EQ_00168,2026-08-17,Preventive,Tires/Tracks,Medium,12.5,37378.2,7695
M_000476,EQ_00168,2025-11-15,Corrective,Engine,Low,8.3,16163.04,6666
M_000477,EQ_00168,2025-01-21,Preventive,Electrical,Medium,7.4,10762.57,7474
M_000478,EQ_00168,2024-04-19,Preventive,Tires/Tracks,Medium,28.4,55996.41,6505
M_000479,EQ_00168,2026-02-27,Corrective,Electrical,Medium,8.2,27050.41,6829
M_000480,EQ_00169,2025-01-02,Preventive,Tires/Tracks,Low,4.4,17654.44,16512
M_000481,EQ_00169,2024-03-05,Preventive,Tires/Tracks,Medium,10.6,23420.61,17845
M_000482,EQ_00170,2024-06-05,Preventive,Engine,Medium,5.2,19639.68,5174
M_000483,EQ_00171,2024-02-12,Corrective,Scheduled Service,Medium,15.0,23595.67,11324
M_000484,EQ_00171,2025-02-19,Preventive,Engine,Medium,3.2,10864.25,11019
M_000485,EQ_00171,2024-02-05,Preventive,Electrical,Low,4.2,7684.53,11377
M_000486,EQ_00172,2025-01-31,Preventive,Engine,Medium,25.8,42791.49,6020
M_000487,EQ_00172,2025-11-12,Preventive,Hydraulic,Medium,2.9,12391.06,6812
M_000488,EQ_00173,2025-08-01,Preventive,Tires/Tracks,Medium,3.4,12165.19,4911
M_000489,EQ_00173,2024-08-29,Preventive,Hydraulic,Medium,0.8,3350.94,5736
M_000490,EQ_00173,2026-07-30,Preventive,Hydraulic,High,56.2,100543.84,4421
M_000491,EQ_00174,2025-07-03,Corrective,Electrical,Low,2.7,6273.01,21474
M_000492,EQ_00174,2026-02-13,Corrective,Scheduled Service,High,7.4,30547.56,21998
M_000493,EQ_00175,2025-11-05,Preventive,Tires/Tracks,High,11.4,32655.13,3871
M_000494,EQ_00175,2025-08-08,Corrective,Electrical,Medium,3.3,3972.25,4895
M_000495,EQ_00175,2024-01-12,Preventive,Hydraulic,Low,8.7,33204.39,5261
M_000496,EQ_00175,2024-07-09,Corrective,Scheduled Service,Medium,9.8,17095.3,5037
M_000497,EQ_00176,2026-02-15,Preventive,Scheduled Service,High,6.5,12457.6,1782
M_000498,EQ_00176,2026-03-26,Corrective,Hydraulic,Medium,2.2,6510.3,1756
M_000499,EQ_00176,2024-12-26,Preventive,Hydraulic,Low,7.0,14219.56,2323
M_000500,EQ_00176,2024-01-04,Preventive,Hydraulic,Low,2.1,5711.73,2560
M_000501,EQ_00177,2024-04-03,Preventive,Electrical,Low,11.5,37057.58,14061
M_000502,EQ_00178,2025-09-08,Corrective,Scheduled Service,Low,8.3,32075.03,19811
M_000503,EQ_00179,2025-11-02,Preventive,Tires/Tracks,Low,8.9,23004.02,2725
M_000504,EQ_00180,2024-11-05,Preventive,Scheduled Service,Medium,1.9,7795.14,15717
M_000505,EQ_00180,2025-10-08,Corrective,Electrical,Medium,9.1,35116.53,16396
M_000506,EQ_00180,2026-05-15,Corrective,Scheduled Service,Medium,9.1,30447.96,16191
M_000507,EQ_00181,2024-05-03,Preventive,Electrical,Low,14.3,25164.1,11431
M_000508,EQ_00181,2024-10-05,Preventive,Hydraulic,High,8.2,34115.58,11350
M_000509,EQ_00181,2024-11-14,Corrective,Scheduled Service,High,19.3,63945.16,12682
M_000510,EQ_00181,2024-05-14,Preventive,Tires/Tracks,Low,2.0,8124.74,11372
M_000511,EQ_00182,2025-02-10,Preventive,Hydraulic,Low,7.5,20243.02,19119
M_000512,EQ_00183,2024-11-02,Preventive,Electrical,Low,12.2,22343.55,3067
M_000513,EQ_00183,2025-07-26,Preventive,Electrical,Low,8.9,27362.61,4219
M_000514,EQ_00183,2024-08-20,Preventive,Engine,Medium,29.4,73685.46,2439
M_000515,EQ_00183,2025-07-21,Preventive,Hydraulic,Low,9.4,21208.84,3660
M_000516,EQ_00184,2024-07-27,Preventive,Scheduled Service,Low,13.2,30543.64,21366
M_000517,EQ_00184,2025-04-23,Preventive,Hydraulic,Medium,12.2,27998.9,22354
M_000518,EQ_00185,2026-05-29,Preventive,Engine,Medium,4.5,15914.87,14056
M_000519,EQ_00185,2024-09-11,Corrective,Engine,Low,4.9,14285.1,13319
M_000520,EQ_00185,2026-02-02,Corrective,Scheduled Service,Medium,2.4,3176.46,14438
M_000521,EQ_00185,2024-07-20,Corrective,Engine,Low,3.2,13856.51,13961
M_000522,EQ_00185,2024-07-01,Corrective,Electrical,Medium,5.4,18761.06,13822
M_000523,EQ_00186,2024-02-20,Preventive,Scheduled Service,High,19.6,79007.7,19094
M_000524,EQ_00187,2024-07-09,Preventive,Scheduled Service,Medium,15.7,48617.24,7509
M_000525,EQ_00187,2025-03-02,Preventive,Hydraulic,Medium,1.4,3055.1,8294
M_000526,EQ_00188,2025-04-07,Preventive,Electrical,High,46.3,164648.06,21541
M_000527,EQ_00188,2026-03-13,Preventive,Engine,Low,4.6,18978.64,21765
M_000528,EQ_00188,2024-01-15,Preventive,Electrical,High,41.5,79435.23,20986
M_000529,EQ_00188,2024-12-02,Preventive,Electrical,Low,6.9,29096.19,20228
M_000530,EQ_00189,2026-07-20,Preventive,Electrical,High,38.2,101815.13,13864
M_000531,EQ_00189,2025-06-17,Corrective,Scheduled Service,Low,22.8,78204.89,14766
M_000532,EQ_00189,2024-08-14,Preventive,Electrical,Low,7.4,20914.79,14809
M_000533,EQ_00190,2026-01-24,Preventive,Electrical,High,6.8,23237.68,2760
M_000534,EQ_00190,2024-06-17,Preventive,Electrical,Low,17.9,35392.05,3486
M_000535,EQ_00190,2024-09-18,Preventive,Scheduled Service,Medium,43.8,180158.71,3046
M_000536,EQ_00190,2026-02-20,Preventive,Electrical,Low,30.1,79661.82,3569
M_000537,EQ_00190,2024-05-02,Corrective,Engine,Medium,3.0,5422.68,3014
M_000538,EQ_00191,2024-11-27,Preventive,Electrical,Low,0.6,2272.66,19526
M_000539,EQ_00191,2025-08-23,Preventive,Engine,Medium,13.6,24921.8,20593
M_000540,EQ_00191,2024-07-14,Preventive,Engine,Low,7.5,26597.41,20598
M_000541,EQ_00192,2024-07-13,Corrective,Hydraulic,Medium,4.1,6448.12,17465
M_000542,EQ_00192,2025-01-21,Corrective,Tires/Tracks,Low,10.5,44639.14,18089
M_000543,EQ_00192,2026-01-09,Corrective,Electrical,Low,14.5,21530.53,17438
M_000544,EQ_00193,2025-08-18,Corrective,Scheduled Service,High,5.9,13864.66,7133
M_000545,EQ_00193,2025-12-19,Corrective,Hydraulic,Medium,25.5,32083.53,6584
M_000546,EQ_00193,2026-02-19,Corrective,Tires/Tracks,Medium,7.3,26693.06,7944
M_000547,EQ_00193,2025-10-03,Preventive,Scheduled Service,Medium,4.6,8540.87,6760
M_000548,EQ_00194,2024-07-06,Preventive,Hydraulic,Low,12.5,44662.89,11588
M_000549,EQ_00194,2026-06-14,Preventive,Hydraulic,Medium,28.2,98729.06,12622
M_000550,EQ_00195,2026-05-22,Corrective,Scheduled Service,Low,12.6,43364.89,9502
M_000551,EQ_00195,2026-06-09,Preventive,Tires/Tracks,Medium,11.2,24718.2,9339
M_000552,EQ_00195,2024-03-13,Preventive,Electrical,Medium,8.9,38907.7,9420
M_000553,EQ_00196,2026-03-14,Corrective,Scheduled Service,Low,3.6,12052.06,12706
M_000554,EQ_00196,2024-04-21,Preventive,Scheduled Service,Low,5.4,13576.89,12770
M_000555,EQ_00197,2024-02-29,Preventive,Scheduled Service,Low,13.4,49449.76,20465
M_000556,EQ_00197,2026-04-13,Corrective,Scheduled Service,Low,1.5,3756.77,21466
M_000557,EQ_00197,2024-05-04,Preventive,Scheduled Service,High,9.2,38136.97,20349
M_000558,EQ_00197,2024-11-29,Preventive,Hydraulic,High,3.3,6187.97,21663
M_000559,EQ_00198,2026-03-10,Preventive,Engine,Medium,7.6,21864.88,19887
M_000560,EQ_00198,2025-05-07,Preventive,Scheduled Service,Low,12.0,15377.74,19836
M_000561,EQ_00199,2025-08-12,Preventive,Tires/Tracks,Low,6.4,17589.03,4286
M_000562,EQ_00200,2024-01-06,Corrective,Tires/Tracks,Low,25.1,74674.08,20519
M_000563,EQ_00201,2026-01-28,Preventive,Hydraulic,Medium,2.2,2957.63,9973
M_000564,EQ_00201,2026-07-11,Preventive,Tires/Tracks,Medium,5.7,22112.81,9589
M_000565,EQ_00202,2026-05-14,Preventive,Engine,Medium,3.0,5253.51,15824
M_000566,EQ_00202,2024-04-12,Corrective,Tires/Tracks,Medium,1.9,5933.49,14682
M_000567,EQ_00202,2026-02-11,Corrective,Engine,Medium,28.3,46509.97,15702
M_000568,EQ_00203,2025-01-27,Preventive,Scheduled Service,Low,3.3,11007.65,16713
M_000569,EQ_00203,2025-10-19,Preventive,Hydraulic,Medium,4.7,10722.19,17743
M_000570,EQ_00203,2025-02-09,Preventive,Tires/Tracks,Medium,2.1,6427.88,17392
M_000571,EQ_00203,2026-04-16,Corrective,Hydraulic,Low,2.4,5473.83,16333
M_000572,EQ_00204,2024-06-08,Corrective,Scheduled Service,Medium,1.2,2015.41,10114
M_000573,EQ_00204,2026-02-14,Corrective,Tires/Tracks,High,7.3,25458.03,10547
M_000574,EQ_00204,2024-05-11,Preventive,Engine,Medium,3.9,8574.73,10908
M_000575,EQ_00204,2025-03-17,Preventive,Electrical,Medium,24.1,101180.21,11867
M_000576,EQ_00205,2025-01-29,Preventive,Electrical,Low,16.6,47718.46,11093
M_000577,EQ_00205,2026-02-12,Preventive,Electrical,Medium,4.2,5981.17,10499
M_000578,EQ_00205,2025-02-28,Corrective,Tires/Tracks,Low,5.7,22391.81,11308
M_000579,EQ_00205,2025-11-08,Preventive,Scheduled Service,Medium,2.2,8720.07,9337
M_000580,EQ_00206,2024-05-20,Corrective,Scheduled Service,Medium,26.9,80767.71,10099
M_000581,EQ_00206,2024-07-05,Preventive,Scheduled Service,Medium,15.2,51851.03,9790
M_000582,EQ_00206,2025-01-06,Corrective,Tires/Tracks,Low,7.3,28530.65,9425
M_000583,EQ_00207,2026-06-30,Preventive,Scheduled Service,Medium,7.3,21342.05,18659
M_000584,EQ_00207,2026-03-12,Corrective,Engine,Medium,29.8,86940.39,19306
M_000585,EQ_00207,2024-01-24,Preventive,Scheduled Service,Low,6.8,13833.25,18428
M_000586,EQ_00207,2024-02-03,Preventive,Scheduled Service,Low,12.2,17171.88,18731
M_000587,EQ_00208,2025-11-08,Preventive,Tires/Tracks,Medium,8.3,15891.39,9403
M_000588,EQ_00208,2026-03-19,Preventive,Engine,Low,22.1,42719.6,9656
M_000589,EQ_00208,2024-07-25,Preventive,Engine,Medium,8.6,35045.26,7879
M_000590,EQ_00209,2024-10-18,Corrective,Engine,Medium,12.8,55482.47,7277
M_000591,EQ_00209,2026-04-25,Preventive,Engine,Medium,11.9,26988.39,6856
M_000592,EQ_00210,2026-04-24,Preventive,Tires/Tracks,Medium,23.4,53930.87,7490
M_000593,EQ_00210,2024-01-30,Corrective,Scheduled Service,Low,10.5,45995.57,9251
M_000594,EQ_00210,2026-08-19,Preventive,Scheduled Service,Medium,3.8,14354.28,8189
M_000595,EQ_00210,2024-05-01,Corrective,Electrical,Medium,21.8,54719.11,8247
M_000596,EQ_00211,2025-06-29,Corrective,Hydraulic,Medium,12.7,22763.92,4527
M_000597,EQ_00211,2024-02-06,Preventive,Hydraulic,Low,5.6,18629.5,5306
M_000598,EQ_00211,2024-09-27,Preventive,Scheduled Service,Medium,3.1,8287.15,4711
M_000599,EQ_00212,2025-05-07,Corrective,Electrical,Medium,9.9,38791.71,9909
M_000600,EQ_00212,2025-01-29,Corrective,Hydraulic,Low,9.1,12368.24,8797
M_000601,EQ_00212,2024-03-03,Corrective,Scheduled Service,High,6.4,14796.47,9287
M_000602,EQ_00213,2025-04-19,Preventive,Tires/Tracks,High,8.8,32230.69,3677
M_000603,EQ_00213,2025-02-20,Preventive,Tires/Tracks,Medium,6.6,14151.09,3481
M_000604,EQ_00213,2025-10-26,Corrective,Hydraulic,Low,6.4,28155.22,2373
M_000605,EQ_00213,2024-12-05,Preventive,Electrical,Low,5.3,19443.73,3534
