rental_id,equipment_id,site_id,operator_id,checkout_date,expected_return_date,actual_return_date,planned_duration_days,rental_status,extension_requested,rental_cost_inr
R_000556,EQ_00685,SITE_019,OP_0334,2026-01-13,2026-02-22,2026-02-22,40,Returned,0,720000
R_000557,EQ_00612,SITE_030,OP_0239,2025-06-24,2025-07-21,2025-07-22,27,Overdue Returned,0,486000
R_000558,EQ_00093,SITE_008,OP_0149,2025-04-04,2025-04-17,2025-04-17,13,Returned,0,234000
R_000559,EQ_00079,SITE_014,OP_0347,2026-04-05,2026-05-12,,37,Overdue,0,666000
R_000560,EQ_00588,SITE_028,OP_0090,2024-01-14,2024-02-14,2024-02-24,31,Overdue Returned,0,279000
R_000561,EQ_00291,SITE_008,OP_0230,2025-09-23,2025-10-10,2025-10-11,17,Overdue Returned,0,374000
R_000562,EQ_00680,SITE_003,OP_0005,2025-09-15,2025-10-07,2025-10-07,22,Returned,0,198000
R_000563,EQ_00188,SITE_018,OP_0236,2026-05-19,2026-05-24,2026-05-26,5,Overdue Returned,0,110000
R_000564,EQ_00262,SITE_028,OP_0271,2024-07-07,2024-07-11,,4,Active,1,28000
R_000565,EQ_00545,SITE_018,OP_0312,2025-06-30,2025-08-04,2025-08-04,35,Returned,0,1050000
R_000566,EQ_00630,SITE_007,OP_0264,2024-07-13,2024-07-22,2024-07-22,9,Returned,0,81000
R_000567,EQ_00725,SITE_020,OP_0265,2024-07-19,2024-08-05,,17,Active,0,306000
R_000568,EQ_00244,SITE_011,OP_0016,2026-05-08,2026-05-20,2026-05-30,12,Overdue Returned,1,216000
R_000569,EQ_00152,SITE_010,OP_0095,2024-01-26,2024-01-29,2024-01-29,3,Returned,0,54000
R_000570,EQ_00411,SITE_013,OP_0348,2024-10-18,2024-11-20,2024-11-20,33,Returned,0,726000
R_000571,EQ_00407,SITE_006,OP_0163,2024-04-26,2024-06-08,2024-06-08,43,Returned,0,301000
R_000572,EQ_00470,SITE_009,OP_0313,2024-06-25,2024-07-08,,13,Active,0,234000
R_000573,EQ_00535,SITE_008,OP_0025,2026-03-14,2026-04-27,2026-04-27,44,Returned,1,308000
R_000574,EQ_00029,SITE_029,OP_0098,2024-10-06,2024-11-15,2024-11-16,40,Overdue Returned,0,560000
R_000575,EQ_00741,SITE_003,OP_0282,2024-05-31,2024-06-08,,8,Active,1,72000
R_000576,EQ_00305,SITE_018,OP_0307,2025-09-20,2025-10-02,2025-10-02,12,Returned,1,264000
R_000577,EQ_00088,SITE_004,OP_0186,2026-06-16,2026-07-14,2026-07-14,28,Returned,0,616000
R_000578,EQ_00351,SITE_023,OP_0176,2025-08-13,2025-09-11,,29,Active,1,406000
R_000579,EQ_00026,SITE_016,OP_0315,2025-09-04,2025-09-18,2025-09-18,14,Returned,0,224000
R_000580,EQ_00486,SITE_006,OP_0156,2026-06-11,2026-07-16,,35,Overdue,0,315000
R_000581,EQ_00282,SITE_025,OP_0332,2025-07-25,2025-08-23,2025-08-23,29,Returned,0,203000
R_000582,EQ_00600,SITE_023,OP_0091,2025-06-20,2025-06-23,,3,Overdue,0,21000
R_000583,EQ_00263,SITE_016,OP_0237,2024-08-29,2024-10-03,2024-10-04,35,Overdue Returned,0,315000
R_000584,EQ_00555,SITE_030,OP_0350,2026-01-02,2026-01-20,2026-01-20,18,Returned,0,396000
R_000585,EQ_00323,SITE_003,OP_0029,2025-01-09,2025-02-04,2025-02-04,26,Returned,0,234000
R_000586,EQ_00014,SITE_012,OP_0056,2026-02-22,2026-03-28,2026-03-30,34,Overdue Returned,0,1020000
R_000587,EQ_00088,SITE_007,OP_0191,2024-04-13,2024-04-29,2024-04-29,16,Returned,0,352000
R_000588,EQ_00009,SITE_013,OP_0179,2024-06-06,2024-06-13,,7,Active,0,126000
R_000589,EQ_00242,SITE_013,OP_0064,2026-03-20,2026-05-02,2026-05-03,43,Overdue Returned,0,774000
R_000590,EQ_00196,SITE_011,OP_0096,2024-08-24,2024-08-27,2024-08-24,3,Returned,0,90000
R_000591,EQ_00161,SITE_028,OP_0347,2025-09-01,2025-09-26,2025-09-26,25,Returned,0,450000
R_000592,EQ_00467,SITE_020,OP_0238,2025-08-01,2025-08-06,,5,Active,1,90000
R_000593,EQ_00180,SITE_024,OP_0159,2024-09-06,2024-09-30,2024-10-01,24,Overdue Returned,1,528000
R_000594,EQ_00098,SITE_002,OP_0136,2025-09-10,2025-09-14,,4,Active,0,72000
R_000595,EQ_00600,SITE_011,OP_0258,2025-08-19,2025-08-26,2025-08-23,7,Returned,0,49000
R_000596,EQ_00080,SITE_029,OP_0321,2024-06-12,2024-06-28,2024-07-08,16,Overdue Returned,0,480000
R_000597,EQ_00504,SITE_021,OP_0176,2025-05-13,2025-05-28,2025-05-28,15,Returned,0,210000
R_000598,EQ_00417,SITE_024,OP_0336,2025-05-30,2025-07-05,2025-07-05,36,Returned,0,504000
R_000599,EQ_00573,SITE_027,OP_0115,2024-05-08,2024-06-15,2024-06-15,38,Returned,1,608000
R_000600,EQ_00680,SITE_024,OP_0283,2026-06-23,2026-07-16,2026-07-17,23,Overdue Returned,0,207000
R_000601,EQ_00009,SITE_012,OP_0086,2024-10-31,2024-11-30,2024-11-30,30,Returned,0,540000
R_000602,EQ_00409,SITE_002,OP_0049,2024-11-20,2024-12-11,,21,Active,0,189000
R_000603,EQ_00081,SITE_014,OP_0206,2025-09-19,2025-09-28,2025-09-29,9,Overdue Returned,1,81000
R_000604,EQ_00711,SITE_017,OP_0078,2024-10-29,2024-11-16,,18,Overdue,1,396000
R_000605,EQ_00283,SITE_017,OP_0161,2025-03-27,2025-04-24,2025-04-26,28,Overdue Returned,0,252000
R_000606,EQ_00361,SITE_027,OP_0287,2024-12-16,2025-01-07,2025-01-07,22,Returned,0,308000
R_000607,EQ_00385,SITE_004,OP_0174,2025-11-16,2025-12-13,2025-12-13,27,Returned,1,378000
R_000608,EQ_00446,SITE_015,OP_0343,2024-02-26,2024-03-05,2024-03-05,8,Returned,0,176000
R_000609,EQ_00350,SITE_006,OP_0152,2025-05-20,2025-06-17,2025-06-16,28,Returned,0,392000
R_000610,EQ_00485,SITE_019,OP_0300,2026-04-18,2026-05-04,2026-05-04,16,Returned,0,112000
R_000611,EQ_00307,SITE_026,OP_0219,2025-12-03,2025-12-23,2025-12-23,20,Returned,1,320000
R_000612,EQ_00673,SITE_026,OP_0138,2024-01-21,2024-02-09,2024-02-08,19,Returned,0,570000
R_000613,EQ_00260,SITE_013,OP_0011,2025-01-04,2025-01-20,2025-01-20,16,Returned,0,144000
R_000614,EQ_00028,SITE_003,OP_0203,2025-09-24,2025-10-31,2025-11-01,37,Overdue Returned,0,518000
R_000615,EQ_00169,SITE_024,OP_0162,2024-04-03,2024-05-02,2024-05-02,29,Returned,0,406000
R_000616,EQ_00782,SITE_007,OP_0278,2025-01-08,2025-01-25,2025-01-25,17,Returned,0,272000
R_000617,EQ_00245,SITE_002,OP_0268,2024-01-09,2024-02-22,2024-02-22,44,Returned,0,968000
R_000618,EQ_00076,SITE_003,OP_0185,2026-01-03,2026-01-25,2026-01-22,22,Returned,0,396000
R_000619,EQ_00350,SITE_009,OP_0010,2026-01-08,2026-02-05,2026-02-03,28,Returned,0,392000
R_000620,EQ_00728,SITE_011,OP_0280,2024-10-04,2024-11-14,2024-11-14,41,Returned,0,902000
R_000621,EQ_00775,SITE_002,OP_0094,2025-07-15,2025-08-12,2025-08-12,28,Returned,0,252000
R_000622,EQ_00728,SITE_025,OP_0226,2024-01-23,2024-03-01,2024-03-02,38,Overdue Returned,0,836000
R_000623,EQ_00215,SITE_012,OP_0014,2024-11-27,2024-12-03,2024-12-08,6,Overdue Returned,0,108000
R_000624,EQ_00467,SITE_002,OP_0181,2025-05-16,2025-06-04,2025-06-04,19,Returned,1,342000
R_000625,EQ_00162,SITE_011,OP_0176,2025-11-17,2025-12-01,2025-12-01,14,Returned,0,252000
R_000626,EQ_00305,SITE_009,OP_0022,2025-07-02,2025-08-02,2025-08-02,31,Returned,0,682000
R_000627,EQ_00513,SITE_022,OP_0250,2025-12-21,2026-01-03,2026-01-03,13,Returned,0,234000
R_000628,EQ_00678,SITE_003,OP_0251,2025-09-20,2025-10-18,2025-10-18,28,Returned,0,504000
R_000629,EQ_00407,SITE_024,OP_0342,2024-06-29,2024-07-06,2024-07-06,7,Returned,0,49000
R_000630,EQ_00445,SITE_010,OP_0233,2024-10-07,2024-10-31,2024-11-02,24,Overdue Returned,1,528000
R_000631,EQ_00220,SITE_024,OP_0267,2025-05-14,2025-05-20,2025-05-21,6,Overdue Returned,0,42000
R_000632,EQ_00761,SITE_023,OP_0059,2025-08-24,2025-09-08,2025-09-07,15,Returned,0,210000
R_000633,EQ_00582,SITE_016,OP_0140,2024-07-01,2024-08-06,2024-08-05,36,Returned,0,1080000
R_000634,EQ_00508,SITE_001,OP_0340,2024-12-15,2025-01-15,,31,Active,0,558000
R_000635,EQ_00371,SITE_002,OP_0269,2025-06-29,2025-07-17,2025-07-19,18,Overdue Returned,0,162000
R_000636,EQ_00447,SITE_022,OP_0217,2024-03-27,2024-05-01,2024-05-01,35,Returned,0,315000
R_000637,EQ_00097,SITE_008,OP_0278,2026-07-14,2026-07-28,2026-07-26,14,Returned,0,252000
R_000638,EQ_00321,SITE_008,OP_0223,2024-11-26,2025-01-10,,45,Active,0,315000
R_000639,EQ_00408,SITE_030,OP_0034,2025-11-17,2025-11-26,2025-11-24,9,Returned,0,63000
R_000640,EQ_00272,SITE_019,OP_0078,2024-03-14,2024-04-03,2024-04-08,20,Overdue Returned,1,360000
R_000641,EQ_00278,SITE_030,OP_0292,2024-12-18,2025-01-14,2025-01-13,27,Returned,0,432000
R_000642,EQ_00568,SITE_001,OP_0118,2026-01-25,2026-02-07,2026-02-07,13,Returned,1,91000
R_000643,EQ_00177,SITE_004,OP_0117,2024-07-25,2024-09-01,2024-09-01,38,Returned,0,266000
R_000644,EQ_00725,SITE_014,OP_0185,2024-10-15,2024-11-02,2024-10-31,18,Returned,0,324000
R_000645,EQ_00383,SITE_020,OP_0236,2025-06-19,2025-07-14,2025-07-14,25,Returned,0,175000
R_000646,EQ_00545,SITE_004,OP_0123,2024-05-14,2024-05-26,2024-05-23,12,Returned,1,360000
R_000647,EQ_00719,SITE_010,OP_0254,2025-10-05,2025-11-18,2025-11-18,44,Returned,0,616000
R_000648,EQ_00087,SITE_015,OP_0140,2024-03-29,2024-05-05,,37,Overdue,0,666000
R_000649,EQ_00710,SITE_013,OP_0247,2024-09-08,2024-10-15,2024-10-15,37,Returned,0,592000
R_000650,EQ_00487,SITE_015,OP_0113,2026-07-15,2026-07-20,2026-07-19,5,Returned,1,35000
R_000651,EQ_00082,SITE_004,OP_0292,2026-05-29,2026-06-26,2026-07-01,28,Overdue Returned,0,196000
R_000652,EQ_00012,SITE_013,OP_0127,2026-01-10,2026-02-04,2026-02-04,25,Returned,1,175000
R_000653,EQ_00058,SITE_015,OP_0227,2026-02-15,2026-03-01,,14,Overdue,1,98000
R_000654,EQ_00597,SITE_020,OP_0130,2025-02-18,2025-03-25,2025-03-25,35,Returned,0,770000
R_000655,EQ_00338,SITE_023,OP_0026,2025-12-13,2026-01-19,2026-01-19,37,Returned,1,518000
R_000656,EQ_00709,SITE_003,OP_0099,2025-10-29,2025-11-26,2025-11-27,28,Overdue Returned,0,196000
R_000657,EQ_00470,SITE_013,OP_0163,2025-04-28,2025-05-24,2025-05-24,26,Returned,0,468000
R_000658,EQ_00268,SITE_016,OP_0320,2024-04-12,2024-04-28,,16,Active,0,112000
R_000659,EQ_00332,SITE_022,OP_0336,2025-06-29,2025-07-13,2025-07-13,14,Returned,1,98000
R_000660,EQ_00558,SITE_001,OP_0317,2026-04-17,2026-05-14,2026-05-14,27,Returned,0,378000
R_000661,EQ_00210,SITE_022,OP_0329,2025-04-14,2025-05-08,2025-05-08,24,Returned,0,384000
R_000662,EQ_00439,SITE_024,OP_0271,2026-03-19,2026-04-22,2026-04-22,34,Returned,0,748000
R_000663,EQ_00670,SITE_027,OP_0345,2025-07-19,2025-08-21,2025-08-21,33,Returned,0,726000
R_000664,EQ_00774,SITE_013,OP_0251,2024-02-01,2024-02-24,2024-02-24,23,Returned,0,414000
R_000665,EQ_00113,SITE_011,OP_0085,2026-05-13,2026-05-28,2026-05-28,15,Returned,0,105000
R_000666,EQ_00286,SITE_014,OP_0139,2025-09-25,2025-10-02,2025-10-02,7,Returned,0,49000
R_000667,EQ_00682,SITE_006,OP_0184,2025-07-21,2025-08-27,2025-08-27,37,Returned,0,1110000
R_000668,EQ_00454,SITE_022,OP_0088,2026-03-13,2026-04-25,2026-04-22,43,Returned,0,387000
R_000669,EQ_00565,SITE_025,OP_0305,2024-07-05,2024-08-09,2024-08-14,35,Overdue Returned,1,770000
R_000670,EQ_00629,SITE_002,OP_0338,2025-06-26,2025-07-10,2025-07-10,14,Returned,0,126000
R_000671,EQ_00787,SITE_019,OP_0068,2025-07-21,2025-08-27,2025-08-25,37,Returned,0,518000
R_000672,EQ_00044,SITE_028,OP_0045,2024-03-09,2024-03-23,,14,Active,1,252000
R_000673,EQ_00620,SITE_024,OP_0054,2026-03-07,2026-04-16,2026-04-18,40,Overdue Returned,0,560000
R_000674,EQ_00588,SITE_016,OP_0260,2025-01-14,2025-02-17,,34,Active,0,306000
R_000675,EQ_00152,SITE_016,OP_0002,2026-04-25,2026-05-30,,35,Active,0,630000
R_000676,EQ_00364,SITE_008,OP_0001,2025-06-28,2025-07-23,2025-07-28,25,Overdue Returned,0,750000
R_000677,EQ_00473,SITE_001,OP_0139,2025-11-13,2025-12-18,,35,Active,0,1050000
R_000678,EQ_00195,SITE_016,OP_0010,2025-05-12,2025-05-16,2025-05-26,4,Overdue Returned,1,120000
R_000679,EQ_00407,SITE_030,OP_0283,2024-11-16,2024-12-28,2024-12-28,42,Returned,0,294000
R_000680,EQ_00387,SITE_009,OP_0210,2024-03-16,2024-03-29,2024-03-31,13,Overdue Returned,0,390000
R_000681,EQ_00649,SITE_001,OP_0211,2024-08-05,2024-08-19,2024-08-19,14,Returned,0,252000
R_000682,EQ_00168,SITE_016,OP_0220,2024-06-19,2024-06-26,2024-06-28,7,Overdue Returned,1,210000
R_000683,EQ_00177,SITE_028,OP_0040,2025-09-19,2025-09-22,2025-09-22,3,Returned,0,21000
R_000684,EQ_00158,SITE_003,OP_0337,2026-07-21,2026-09-03,2026-09-03,44,Returned,0,616000
R_000685,EQ_00334,SITE_016,OP_0170,2024-10-04,2024-11-18,2024-11-18,45,Returned,0,810000
R_000686,EQ_00784,SITE_030,OP_0151,2024-02-07,2024-02-15,2024-02-16,8,Overdue Returned,0,112000
R_000687,EQ_00713,SITE_005,OP_0331,2025-07-08,2025-07-24,2025-07-21,16,Returned,0,480000
R_000688,EQ_00326,SITE_003,OP_0096,2024-05-16,2024-05-21,2024-05-22,5,Overdue Returned,1,45000
R_000689,EQ_00707,SITE_022,OP_0183,2026-06-19,2026-07-07,2026-07-07,18,Returned,0,396000
R_000690,EQ_00342,SITE_024,OP_0076,2025-08-04,2025-08-20,2025-08-21,16,Overdue Returned,0,288000
R_000691,EQ_00316,SITE_014,OP_0286,2024-08-04,2024-08-26,2024-08-31,22,Overdue Returned,1,352000
R_000692,EQ_00795,SITE_023,OP_0284,2024-08-28,2024-10-06,,39,Active,1,273000
R_000693,EQ_00751,SITE_019,OP_0256,2025-12-19,2025-12-29,2025-12-29,10,Returned,1,90000
R_000694,EQ_00597,SITE_030,OP_0115,2025-01-02,2025-01-25,2025-01-26,23,Overdue Returned,0,506000
R_000695,EQ_00397,SITE_024,OP_0319,2025-10-04,2025-10-08,2025-10-08,4,Returned,1,120000
R_000696,EQ_00211,SITE_003,OP_0083,2026-01-13,2026-01-16,2026-01-16,3,Returned,0,27000
R_000697,EQ_00664,SITE_018,OP_0299,2024-02-29,2024-04-06,2024-04-06,37,Returned,1,814000
R_000698,EQ_00217,SITE_030,OP_0199,2024-05-30,2024-06-16,2024-06-21,17,Overdue Returned,0,306000
R_000699,EQ_00451,SITE_018,OP_0247,2025-10-07,2025-10-12,,5,Overdue,0,150000
R_000700,EQ_00426,SITE_018,OP_0134,2025-02-24,2025-03-28,2025-03-28,32,Returned,0,448000
R_000701,EQ_00611,SITE_012,OP_0226,2024-01-07,2024-01-22,,15,Active,0,450000
R_000702,EQ_00765,SITE_030,OP_0350,2026-04-13,2026-04-29,2026-04-30,16,Overdue Returned,0,288000
R_000703,EQ_00348,SITE_010,OP_0342,2025-03-04,2025-03-25,2025-03-25,21,Returned,1,147000
R_000704,EQ_00533,SITE_001,OP_0109,2025-03-15,2025-04-16,2025-04-16,32,Returned,0,704000
R_000705,EQ_00216,SITE_022,OP_0282,2024-05-28,2024-06-25,2024-06-26,28,Overdue Returned,1,616000
R_000706,EQ_00338,SITE_013,OP_0034,2026-01-22,2026-03-02,2026-03-02,39,Returned,0,546000
R_000707,EQ_00280,SITE_023,OP_0124,2025-11-22,2025-12-08,2025-12-08,16,Returned,0,224000
R_000708,EQ_00481,SITE_001,OP_0350,2026-03-08,2026-04-04,,27,Active,0,378000
R_000709,EQ_00302,SITE_026,OP_0303,2026-06-25,2026-07-17,2026-07-17,22,Returned,0,396000
R_000710,EQ_00155,SITE_011,OP_0158,2024-06-13,2024-07-10,,27,Overdue,0,594000
R_000711,EQ_00049,SITE_013,OP_0120,2025-11-13,2025-12-14,2025-12-11,31,Returned,0,930000
R_000712,EQ_00158,SITE_006,OP_0177,2024-09-04,2024-09-30,2024-09-30,26,Returned,1,364000
R_000713,EQ_00670,SITE_011,OP_0049,2024-01-06,2024-01-24,,18,Overdue,0,396000
R_000714,EQ_00093,SITE_018,OP_0114,2025-02-28,2025-03-14,2025-03-14,14,Returned,0,252000
R_000715,EQ_00300,SITE_011,OP_0080,2024-03-04,2024-03-08,2024-03-08,4,Returned,0,28000
R_000716,EQ_00323,SITE_010,OP_0058,2025-06-19,2025-07-20,2025-07-20,31,Returned,0,279000
R_000717,EQ_00554,SITE_017,OP_0024,2025-04-13,2025-05-02,,19,Active,1,171000
R_000718,EQ_00637,SITE_013,OP_0310,2024-08-29,2024-10-01,2024-10-01,33,Returned,0,990000
R_000719,EQ_00279,SITE_011,OP_0308,2024-01-06,2024-02-01,2024-02-01,26,Returned,1,364000
R_000720,EQ_00786,SITE_019,OP_0191,2024-02-14,2024-02-18,2024-02-18,4,Returned,0,88000
R_000721,EQ_00461,SITE_016,OP_0343,2026-01-17,2026-03-01,2026-03-02,43,Overdue Returned,0,602000
R_000722,EQ_00527,SITE_027,OP_0024,2026-05-15,2026-06-16,2026-06-16,32,Returned,0,576000
R_000723,EQ_00151,SITE_006,OP_0089,2024-07-22,2024-08-12,2024-08-11,21,Returned,0,378000
R_000724,EQ_00159,SITE_016,OP_0231,2025-11-01,2025-11-08,2025-11-08,7,Returned,0,49000
R_000725,EQ_00683,SITE_006,OP_0274,2026-07-28,2026-09-10,2026-09-10,44,Returned,0,308000
R_000726,EQ_00243,SITE_020,OP_0131,2025-12-29,2026-01-27,,29,Active,0,522000
R_000727,EQ_00424,SITE_019,OP_0289,2025-04-02,2025-04-21,2025-04-21,19,Returned,1,133000
R_000728,EQ_00678,SITE_014,OP_0247,2025-09-28,2025-11-05,2025-11-15,38,Overdue Returned,1,684000
R_000729,EQ_00114,SITE_027,OP_0003,2024-07-06,2024-08-14,2024-08-14,39,Returned,0,858000
R_000730,EQ_00630,SITE_016,OP_0180,2024-10-04,2024-11-12,2024-11-12,39,Returned,0,351000
R_000731,EQ_00490,SITE_002,OP_0111,2025-03-01,2025-03-20,2025-03-18,19,Returned,1,266000
R_000732,EQ_00727,SITE_023,OP_0310,2025-04-10,2025-05-18,2025-05-15,38,Returned,0,1140000
R_000733,EQ_00606,SITE_017,OP_0054,2024-02-21,2024-04-05,2024-04-07,44,Overdue Returned,0,792000
R_000734,EQ_00257,SITE_021,OP_0126,2024-09-10,2024-10-19,,39,Active,0,273000
R_000735,EQ_00720,SITE_008,OP_0296,2025-11-05,2025-11-17,2025-11-17,12,Returned,1,168000
R_000736,EQ_00606,SITE_017,OP_0215,2025-03-28,2025-05-01,2025-04-29,34,Returned,0,612000
R_000737,EQ_00579,SITE_005,OP_0270,2024-05-06,2024-05-15,,9,Overdue,1,198000
R_000738,EQ_00746,SITE_029,OP_0041,2024-11-09,2024-12-06,2024-12-06,27,Returned,0,189000
R_000739,EQ_00164,SITE_009,OP_0046,2026-02-26,2026-04-04,2026-04-14,37,Overdue Returned,0,592000
R_000740,EQ_00116,SITE_020,OP_0241,2024-02-01,2024-02-07,,6,Active,1,54000
R_000741,EQ_00169,SITE_014,OP_0263,2025-09-18,2025-09-25,2025-09-25,7,Returned,0,98000
R_000742,EQ_00704,SITE_025,OP_0159,2024-01-29,2024-02-04,,6,Active,1,132000
R_000743,EQ_00137,SITE_012,OP_0081,2025-01-02,2025-01-29,2025-01-29,27,Returned,0,243000
R_000744,EQ_00225,SITE_010,OP_0109,2025-07-08,2025-07-18,,10,Overdue,0,90000
R_000745,EQ_00019,SITE_014,OP_0234,2024-11-06,2024-11-17,2024-11-17,11,Returned,0,99000
R_000746,EQ_00038,SITE_030,OP_0326,2026-02-15,2026-03-21,2026-03-26,34,Overdue Returned,0,748000
R_000747,EQ_00308,SITE_013,OP_0050,2024-09-19,2024-10-19,2024-10-21,30,Overdue Returned,0,270000
R_000748,EQ_00342,SITE_013,OP_0127,2024-09-28,2024-10-29,2024-10-31,31,Overdue Returned,0,558000
R_000749,EQ_00159,SITE_020,OP_0339,2025-04-08,2025-04-12,,4,Active,0,28000
R_000750,EQ_00106,SITE_015,OP_0100,2025-08-23,2025-10-02,2025-10-02,40,Returned,0,280000
R_000751,EQ_00582,SITE_017,OP_0007,2024-11-18,2024-12-22,2024-12-21,34,Returned,0,1020000
R_000752,EQ_00382,SITE_003,OP_0013,2025-08-16,2025-08-25,,9,Active,0,63000
R_000753,EQ_00094,SITE_015,OP_0312,2024-12-31,2025-02-07,2025-02-07,38,Returned,0,342000
R_000754,EQ_00567,SITE_010,OP_0230,2025-06-27,2025-07-20,2025-07-22,23,Overdue Returned,1,322000
R_000755,EQ_00288,SITE_025,OP_0148,2024-06-23,2024-07-02,2024-07-03,9,Overdue Returned,0,81000
R_000756,EQ_00074,SITE_014,OP_0320,2026-05-12,2026-06-23,2026-06-24,42,Overdue Returned,0,378000
R_000757,EQ_00699,SITE_017,OP_0025,2026-02-20,2026-03-07,2026-03-05,15,Returned,0,330000
R_000758,EQ_00439,SITE_029,OP_0336,2025-02-09,2025-03-02,2025-03-02,21,Returned,0,462000
R_000759,EQ_00493,SITE_012,OP_0221,2026-06-16,2026-06-27,2026-06-28,11,Overdue Returned,0,77000
R_000760,EQ_00051,SITE_013,OP_0193,2026-01-07,2026-01-15,2026-01-15,8,Returned,0,128000
R_000761,EQ_00729,SITE_008,OP_0071,2024-01-14,2024-01-22,2024-01-23,8,Overdue Returned,1,144000
R_000762,EQ_00173,SITE_029,OP_0315,2025-03-08,2025-03-27,2025-04-06,19,Overdue Returned,1,133000
R_000763,EQ_00159,SITE_024,OP_0328,2025-05-25,2025-06-12,2025-06-12,18,Returned,1,126000
R_000764,EQ_00204,SITE_007,OP_0190,2026-02-07,2026-02-10,,3,Active,0,42000
R_000765,EQ_00725,SITE_018,OP_0183,2024-07-19,2024-08-25,2024-08-24,37,Returned,0,666000
R_000766,EQ_00612,SITE_005,OP_0209,2025-08-15,2025-09-15,,31,Active,0,558000
R_000767,EQ_00093,SITE_027,OP_0248,2025-03-14,2025-03-25,2025-03-25,11,Returned,0,198000
R_000768,EQ_00078,SITE_004,OP_0099,2025-10-26,2025-11-19,2025-11-19,24,Returned,0,168000
R_000769,EQ_00553,SITE_030,OP_0190,2024-06-02,2024-06-18,,16,Overdue,0,112000
R_000770,EQ_00480,SITE_018,OP_0227,2025-11-28,2025-12-31,2025-12-28,33,Returned,0,726000
R_000771,EQ_00341,SITE_014,OP_0349,2024-03-26,2024-04-18,2024-04-20,23,Overdue Returned,0,506000
R_000772,EQ_00287,SITE_012,OP_0309,2025-11-28,2026-01-05,2026-01-04,38,Returned,0,608000
R_000773,EQ_00574,SITE_002,OP_0259,2025-09-13,2025-10-18,2025-10-18,35,Returned,0,1050000
R_000774,EQ_00514,SITE_011,OP_0172,2025-05-24,2025-06-06,2025-06-06,13,Returned,1,390000
R_000775,EQ_00083,SITE_019,OP_0257,2026-06-27,2026-07-12,2026-07-13,15,Overdue Returned,0,210000
R_000776,EQ_00431,SITE_026,OP_0040,2024-12-03,2025-01-03,2025-01-03,31,Returned,0,434000
R_000777,EQ_00593,SITE_002,OP_0208,2026-05-10,2026-06-06,2026-06-06,27,Returned,1,243000
R_000778,EQ_00763,SITE_001,OP_0064,2026-06-06,2026-07-12,2026-07-12,36,Returned,0,252000
R_000779,EQ_00791,SITE_025,OP_0128,2024-12-01,2025-01-08,2025-01-08,38,Returned,1,342000
R_000780,EQ_00369,SITE_002,OP_0169,2025-02-21,2025-03-07,2025-03-09,14,Overdue Returned,1,308000
R_000781,EQ_00423,SITE_016,OP_0093,2026-05-20,2026-05-23,2026-05-23,3,Returned,1,27000
R_000782,EQ_00441,SITE_002,OP_0277,2025-01-11,2025-01-25,2025-01-25,14,Returned,0,252000
R_000783,EQ_00102,SITE_001,OP_0066,2026-06-18,2026-07-10,2026-07-09,22,Returned,0,308000
R_000784,EQ_00800,SITE_001,OP_0315,2025-09-30,2025-11-03,2025-11-03,34,Returned,0,748000
R_000785,EQ_00435,SITE_020,OP_0165,2024-01-23,2024-01-29,2024-01-29,6,Returned,1,108000
R_000786,EQ_00402,SITE_012,OP_0156,2026-07-23,2026-08-17,2026-08-22,25,Overdue Returned,0,750000
R_000787,EQ_00540,SITE_026,OP_0263,2025-08-13,2025-08-17,2025-08-17,4,Returned,0,120000
R_000788,EQ_00467,SITE_010,OP_0021,2025-09-29,2025-11-01,2025-11-01,33,Returned,1,594000
R_000789,EQ_00039,SITE_027,OP_0164,2025-09-30,2025-11-11,2025-11-09,42,Returned,0,378000
R_000790,EQ_00291,SITE_017,OP_0124,2024-02-03,2024-02-25,2024-02-25,22,Returned,0,484000
R_000791,EQ_00100,SITE_007,OP_0201,2026-01-11,2026-02-12,2026-02-12,32,Returned,0,960000
R_000792,EQ_00618,SITE_021,OP_0039,2025-12-28,2026-01-03,2026-01-01,6,Returned,0,180000
R_000793,EQ_00206,SITE_011,OP_0256,2026-07-02,2026-07-31,,29,Active,0,638000
R_000794,EQ_00407,SITE_007,OP_0094,2025-03-14,2025-04-26,2025-04-26,43,Returned,0,301000
R_000795,EQ_00203,SITE_030,OP_0168,2025-06-07,2025-07-18,2025-07-16,41,Returned,0,1230000
R_000796,EQ_00245,SITE_009,OP_0040,2025-10-03,2025-10-06,,3,Active,0,66000
R_000797,EQ_00535,SITE_009,OP_0222,2024-07-29,2024-08-28,,30,Active,0,210000
R_000798,EQ_00547,SITE_017,OP_0113,2025-08-10,2025-09-18,,39,Overdue,0,351000
R_000799,EQ_00059,SITE_009,OP_0044,2024-04-24,2024-04-29,2024-05-01,5,Overdue Returned,0,35000
R_000800,EQ_00352,SITE_029,OP_0013,2025-09-19,2025-10-19,,30,Overdue,1,420000
R_000801,EQ_00092,SITE_020,OP_0046,2026-06-21,2026-07-20,2026-07-17,29,Returned,1,638000
R_000802,EQ_00061,SITE_028,OP_0344,2025-05-24,2025-07-04,2025-07-01,41,Returned,0,287000
R_000803,EQ_00654,SITE_012,OP_0050,2024-09-02,2024-10-04,2024-10-05,32,Overdue Returned,1,288000
R_000804,EQ_00678,SITE_013,OP_0195,2026-07-04,2026-07-23,2026-08-02,19,Overdue Returned,0,342000
